Release Group,Gross,Maxtheater,Openning,Percent of total,Openning theater,Date,Year
The First Swallows,"$6,718",141,"$6,462",96.2%,141,Aug 9,2019
Blood Moon Party,"$6,709,383","10,143","$1,237,888",18.5%,"10,143",Oct 20,2020
The Royal Bride,"$5,830,719","6,286",,,,May 22,2020
13rd Sister: Three Deadly Days,"$4,257,126","5,786",,,,Dec 25,2020
Peninsula,"$3,455,372","8,239","$1,068,588",30.9%,"7,479",Jul 17,2020
Doi Mat Am Duong,"$2,642,944","4,092","$232,739",8.8%,"4,092",Jan 17,2020
Rom,"$2,509,318","9,847","$1,223,332",48.8%,"9,847",Sep 25,2020
Wonder Woman 1984,"$1,983,902","7,766","$755,784",38.1%,"7,766",Dec 18,2020
30 Chua Phai Tet,"$1,957,005","3,247","$780,937",39.9%,"3,247",Jan 25,2020
Dolittle,"$1,912,127",207,"$380,775",19.9%,206,Jan 25,2020
Tenet,"$1,402,704","5,246","$427,166",30.5%,"5,246",Aug 27,2020
Nang 3: Loi Hua Cua Cha,"$1,398,976","5,348",,,,May 22,2020
Pee Nak 2,"$1,302,777","3,835","$239,416",18.4%,"3,835",Jul 3,2020
Birds of Prey,"$1,229,778","5,944","$521,314",42.4%,"5,944",Feb 6,2020
Drama Queen,"$972,116","4,410","$581,043",59.8%,"4,410",Feb 14,2020
Soul,"$939,026","2,069","$172,929",18.4%,"2,069",Dec 25,2020
Extreme Job,"$910,880","2,089","$210,256",23.1%,"2,089",Dec 11,2020
Doraemon the Movie: Nobita's New Dinosaur,"$907,551","2,354","$163,811",18%,"2,354",Dec 11,2020
Underwater,"$884,763","4,734",,,,Oct 1,2020
Greenland,"$866,652","3,175","$292,587",33.8%,"3,175",Sep 11,2020
The Croods: A New Age,"$829,750","2,582","$385,000",46.4%,191,Nov 27,2020
Secret Zoo,"$821,087","1,608","$154,346",18.8%,"1,299",Feb 14,2020
The Grudge,"$810,242",209,"$271,725",33.5%,209,Jan 1,2020
Monster Hunter,"$731,529","3,022","$297,799",40.7%,"3,022",Dec 31,2020
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$714,373","3,884","$293,640",41.1%,"3,884",Dec 11,2020
The Invisible Man,"$701,541","3,936","$298,476",42.5%,"3,936",Feb 28,2020
Scoob!,"$631,000","2,470","$168,592",26.7%,"2,470",Jul 10,2020
Intruder,"$619,931","3,373","$201,174",32.5%,"3,373",Jun 26,2020
Brahms: The Boy II,"$588,928","3,393","$307,369",52.2%,"3,393",Feb 21,2020
Pawn,"$575,149","2,778","$187,190",32.5%,"2,778",Oct 9,2020
Star Wars: Episode IX - The Rise of Skywalker,"$551,485","1,799","$201,569",36.6%,"1,799",Jan 1,2020
Trai Tim Quai Vat,"$548,175","3,191","$110,193",20.1%,"1,834",Nov 14,2020
Fantasy Island,"$547,066",215,"$335,570",61.3%,215,Feb 13,2020
Bloodshot,"$540,460",268,"$298,144",55.2%,268,Mar 13,2020
Howling Village,"$520,660","2,355","$318,643",61.2%,"2,355",Feb 14,2020
Bad Boys for Life,"$520,289",196,"$216,816",41.7%,196,Jan 16,2020
The Witches,"$489,078","1,783","$84,235",17.2%,936,Oct 30,2020
The New Mutants,"$480,756","2,545","$135,571",28.2%,"2,545",Sep 2,2020
Pets United,"$462,772",828,"$99,341",21.5%,828,Jan 25,2020
Trolls World Tour,"$455,892","2,200","$133,821",29.4%,"2,200",May 29,2020
The Call of the Wild,"$450,749","2,394","$180,630",40.1%,"2,394",Feb 21,2020
The Ghoul: Horror At The Howling Field,"$414,862","1,707","$147,383",35.5%,"1,707",Oct 29,2020
Sonic the Hedgehog,"$400,662","2,839","$192,126",48%,"2,839",Feb 21,2020
100% Wolf,"$361,539","1,502","$33,133",9.2%,718,Jun 21,2020
Black Water: Abyss,"$346,552","2,376","$138,071",39.8%,"2,376",Aug 5,2020
Hitman: Agent Jun,"$328,921","1,065","$110,456",33.6%,"1,065",Feb 14,2020
Invisible Evidence,"$324,791","2,807","$148,219",45.6%,"2,807",Jul 8,2020
The Wretched,"$302,841","2,679","$134,256",44.3%,"2,679",Jun 21,2020
Baba Yaga: Terror of the Dark Forest,"$273,988","1,414",,,,May 23,2020
Lingering,"$265,265","2,125","$103,819",39.1%,"2,125",Jun 5,2020
Onward,"$228,576","1,902",,,,Feb 29,2020
Honest Thief,"$223,850","2,154","$120,888",54%,"2,154",Oct 10,2020
The Golden Holiday,"$223,672","1,184","$108,992",48.7%,"1,184",Oct 30,2020
Pinocchio,"$214,934","1,862","$111,012",51.6%,"1,862",Jul 24,2020
Deliver Us from Evil,"$211,670","1,381","$86,709",41%,"1,381",Sep 4,2020
Dragon Rider,"$205,290","1,328","$131,130",63.9%,"1,328",Dec 31,2020
Ghosts of War,"$202,941","1,625","$79,730",39.3%,"1,625",Jul 29,2020
Behind You,"$202,911","1,388","$73,546",36.2%,"1,388",Aug 19,2020
In the Name of Love,"$202,474","1,658","$91,822",45.4%,"1,658",Nov 20,2020
Bigfoot Family,"$196,329","1,057","$34,438",17.5%,563,Sep 18,2020
Gretel & Hansel,"$192,146","1,379","$112,076",58.3%,"1,379",Jan 31,2020
Break the Silence: The Movie,"$189,151",292,"$94,556",50%,2,Sep 10,2020
My Spy,"$184,505",839,"$51,843",28.1%,684,Aug 12,2020
Midway,"$183,170","1,273","$48,617",26.5%,"1,273",May 29,2020
Classic Again,"$175,027","1,627","$72,105",41.2%,"1,627",Jun 16,2020
Antebellum,"$172,693","1,621","$85,978",49.8%,"1,621",Sep 4,2020
Run,"$163,494","1,259","$80,725",49.4%,"1,259",Nov 20,2020
Malasaña 32,"$152,926","1,330",,,,Feb 28,2020
Collectors,"$147,071","1,325","$74,836",50.9%,"1,325",Dec 4,2020
StarDog and TurboCat,"$143,369",858,,,,Jun 11,2020
Inmate Zero,"$141,129","1,488","$83,925",59.5%,"1,488",Feb 28,2020
My God! Father,"$139,511","1,185","$60,934",43.7%,"1,185",Nov 13,2020
The Widow,"$137,547","1,749","$81,154",59%,"1,749",Oct 1,2020
The Banishing,"$131,564","1,370","$65,223",49.6%,"1,370",Dec 4,2020
Sai Gon in the Rain,"$128,358","1,141",,,,Apr 11,2020
Jungle Beat: The Movie,"$128,344",712,"$43,160",33.6%,693,Sep 11,2020
The Unfamiliar,"$126,360","1,102","$59,055",46.7%,"1,102",Sep 18,2020
Violet Evergarden: The Movie,"$122,011","1,317","$71,394",58.5%,"1,317",Dec 4,2020
Freaky,"$120,744","1,489","$65,014",53.8%,"1,489",Nov 27,2020
Norm of the North: Family Vacation,"$119,287",629,"$18,672",15.7%,450,Aug 29,2020
Dreamkatcher,"$118,435",30,,,,May 15,2020
Fukushima 50,"$116,117","1,084","$46,501",40%,"1,084",Jun 12,2020
The Divine Move 2: The Wrathful,"$115,036",806,"$62,928",54.7%,806,Jan 31,2020
Little Women,"$111,213",98,"$32,484",29.2%,98,Feb 7,2020
Monster Zone,"$110,715",909,"$42,617",38.5%,909,Aug 28,2020
Low Season,"$103,986",775,"$39,443",37.9%,775,Jul 10,2020
Sputnik,"$103,408","1,411","$62,089",60%,"1,411",Oct 16,2020
A Piece of Cake,"$103,180",748,"$37,923",36.8%,748,Oct 16,2020
The Room2020 Re-release,"$102,938",990,"$56,109",54.5%,990,Feb 7,2020
Sea Fever,"$102,239","1,297","$61,298",60%,"1,297",Jun 26,2020
The Gentlemen,"$101,617",570,"$21,121",20.8%,287,Feb 24,2020
Tidal Wave,"$100,499","1,529","$51,067",50.8%,"1,529",Oct 16,2020
Inheritance,"$97,085","1,277","$50,418",51.9%,"1,277",Jun 12,2020
Latte & the Magic Waterstone,"$96,263",858,"$32,234",33.5%,858,Jun 21,2020
"Turu, the Wacky Hen","$91,605",957,"$55,707",60.8%,957,Oct 2,2020
Tootsies & the Fake,"$91,587",241,"$7,651",8.4%,149,Jan 25,2020
Secrets of the Wind,"$84,892",773,"$17,291",20.4%,626,Nov 20,2020
What We Forgot to Remember,"$81,870",300,,,,Dec 25,2020
Happy Old Year,"$81,294",789,"$53,751",66.1%,789,Feb 14,2020
Unhinged,"$80,188",934,"$34,664",43.2%,934,Jul 31,2020
The Tower,"$79,081","1,188","$43,713",55.3%,"1,188",Nov 20,2020
Relic,"$78,463",747,"$30,843",39.3%,747,Jul 17,2020
Doctor Strange2020 Re-release,"$77,681","1,194","$44,335",57.1%,"1,194",Sep 18,2020
The Clearing,"$77,182",911,"$40,382",52.3%,911,Oct 10,2020
Ava,"$76,944","1,163","$52,078",67.7%,"1,163",Oct 2,2020
Coma,"$76,877",945,"$38,378",49.9%,945,May 29,2020
Toi La Nao Ca Vang,"$69,910","1,086","$36,699",52.5%,"1,086",Jun 5,2020
Skylines,"$69,808",960,"$49,978",71.6%,960,Dec 11,2020
Invasion,"$65,316",690,"$37,820",57.9%,690,Sep 18,2020
The Night Clerk,"$62,503","1,055","$37,402",59.8%,"1,055",Jun 4,2020
Thang Máy,"$62,272","1,018","$45,881",73.7%,"1,018",Oct 30,2020
Rogue,"$62,129","1,033","$62,116",100%,"1,033",Aug 21,2020
Achoura,"$60,148","1,039","$31,876",53%,"1,039",Jun 26,2020
Samsam,"$60,087",533,,,,Mar 13,2020
Stare,"$53,545","1,123","$28,155",52.6%,"1,123",Jun 21,2020
The Wishmas Tree,"$49,238",873,"$33,822",68.7%,873,Jun 12,2020
The Late Night Ride,"$47,803",914,"$29,982",62.7%,914,Feb 28,2020
Oh! My Gran,"$46,734",618,"$29,140",62.4%,618,Sep 18,2020
Simon's Got a Gift,"$45,072",575,"$25,724",57.1%,575,Aug 21,2020
Vo Sinh Dai Chien,"$44,157",937,"$36,445",82.5%,937,Dec 31,2020
The Evil Next Door,"$42,801",471,,,,Jun 11,2020
Bikeman 2,"$42,710",635,,,,Oct 1,2020
Mr. Zoo: The Missing VIP,"$41,327",447,"$19,795",47.9%,447,Feb 21,2020
Fate/stay night [Heaven's Feel] III. spring song,"$40,663",488,"$20,460",50.3%,488,Nov 13,2020
Big Hero 62020 Re-release,"$40,318",703,"$12,726",31.6%,703,Jul 31,2020
The Foggy Mountain-Dinh Mu Suong,"$38,376",574,"$13,862",36.1%,574,Jul 15,2020
Force of Nature,"$37,724",723,"$21,117",56%,723,Jul 3,2020
Transference,"$37,483",775,"$25,646",68.4%,775,Oct 2,2020
The Swordsman,"$37,442",519,"$18,648",49.8%,519,Nov 13,2020
The Cave,"$37,138",321,"$15,675",42.2%,321,Jan 3,2020
Wartime Flowers,"$35,898",198,,,,May 15,2020
Captain America: Civil War2020 Re-release,"$35,827",737,"$15,984",44.6%,737,Aug 7,2020
Lake of Death,"$35,824",610,,,,Jun 3,2020
Her Blue Sky,"$35,306",397,,,,Oct 1,2020
E Riam Sing,"$34,761",697,"$22,910",65.9%,697,Dec 4,2020
I Still Believe,"$33,137",297,"$27,204",82.1%,,Mar 13,2020
Bloodlust Beauty,"$32,649",399,$825,2.5%,79,Dec 4,2020
The Crawler,"$32,346",960,"$19,320",59.7%,960,Dec 4,2020
The Sonata,"$31,928",704,"$20,740",65%,704,Jun 12,2020
Jiu Jitsu,"$30,050",541,"$20,355",67.7%,541,Nov 20,2020
Coco,"$29,049",813,"$18,761",64.6%,813,Oct 10,2020
The Magic Kids: Three Unlikely Heroes,"$28,634",453,"$19,623",68.5%,453,Sep 18,2020
Mermaid in Paris,"$28,555",452,"$16,708",58.5%,452,Sep 11,2020
Check In Shock,"$28,528",464,"$14,391",50.4%,464,Jul 10,2020
The Housemaid,"$28,015",396,"$13,696",48.9%,396,Sep 11,2020
"Mo' Money, Mo' Problems","$27,699",383,"$11,772",42.5%,383,Jan 31,2020
The Tunnel,"$27,598",169,,,,May 15,2020
Without a Body,"$27,453",484,"$14,774",53.8%,484,Jul 10,2020
Survive the Night,"$27,096",522,"$14,181",52.3%,522,Jul 3,2020
Your Eyes Tell,"$26,396",441,"$12,666",48%,441,Nov 13,2020
FLCL Progressive: Stone Skipping,"$26,315",654,"$18,327",69.6%,654,Dec 11,2020
Search Out,"$26,105",518,"$18,620",71.3%,518,May 29,2020
The Voices,"$26,011",481,"$12,560",48.3%,481,Jul 3,2020
Diva,"$24,276",613,"$12,951",53.3%,613,Nov 13,2020
Alone,"$24,181",763,"$14,105",58.3%,366,Nov 27,2020
You're Not Alone,"$23,917",238,"$8,968",37.5%,238,Aug 14,2020
More Than Family,"$23,781",463,"$12,063",50.7%,463,Nov 27,2020
Outback,"$22,764",53,,,,Jul 24,2020
The Craft: Legacy,"$22,142",570,"$14,624",66%,570,Oct 30,2020
Endless,"$21,826",359,"$10,990",50.4%,359,Aug 7,2020
The Doorman,"$21,708",545,"$13,562",62.5%,545,Oct 16,2020
ParasiteBlack & White,"$19,679",181,"$5,701",29%,181,Feb 24,2020
Mortal,"$19,652",396,"$11,591",59%,396,Jul 17,2020
Don't Look Back,"$19,607",396,,,,Jun 11,2020
Let It Snow,"$19,578",476,"$12,727",65%,476,Oct 10,2020
Murders At The House Of Death,"$19,505",319,"$8,698",44.6%,319,Sep 25,2020
The Soul Collector,"$18,941",61,,,,Mar 13,2020
Hunter's Moon,"$18,004",394,"$11,194",62.2%,394,Sep 18,2020
Night of the Undead,"$17,718",395,"$9,854",55.6%,395,Nov 27,2020
Ghost Writer,"$17,395",320,"$8,914",51.2%,320,Jul 31,2020
Hard Kill,"$14,989",312,"$9,836",65.6%,312,Sep 4,2020
Bombshell,"$14,719",338,"$11,807",80.2%,338,Jan 17,2020
Kaiji: Final Game,"$14,608",290,"$9,204",63%,290,May 29,2020
Await the Dawn,"$14,218",191,"$7,757",54.6%,191,Sep 18,2020
Heartbeats,"$10,866",12,,,,Mar 13,2020
Recon,"$10,086",204,"$5,931",58.8%,204,Dec 4,2020
Eyes on Me: The Movie,"$8,228",19,,,,Jun 26,2020
"My Love, Don't Cross That River2020 Re-release","$7,499",279,"$7,498",100%,279,Aug 21,2020
American Fighter,"$6,361",221,"$4,050",63.7%,221,Oct 16,2020
Inception10th Anniversary re-release,"$6,278","1,206","$45,071",717.9%,"1,206",Aug 21,2020
Mother Gamer,"$6,118",229,"$4,049",66.2%,229,Oct 10,2020
Becoming,"$5,377",153,"$3,170",59%,153,Jun 26,2020
The Glorious Pain,"$5,351",96,"$2,115",39.5%,96,Nov 13,2020
Protector,"$4,778",6,,,,Mar 13,2020
Bi Mat Dao Linh Xa,"$4,071",61,"$1,708",42%,61,Jan 25,2020
Range Runners,"$3,811",79,"$1,701",44.6%,79,Sep 25,2020
The Other Side,"$2,668",62,,,,Jun 11,2020
"Dad, I'm Sorry","$17,130,489","10,783","$2,388,943",13.9%,"7,105",Mar 3,2021
Face Off: 48H,"$6,781,370","10,308","$1,771,028",26.1%,"10,308",Apr 15,2021
Godzilla vs. Kong,"$5,600,000","7,043","$2,206,837",39.4%,10,Mar 25,2021
Spider-Man: No Way Home,"$4,375,144","5,463","$1,239,721",28.3%,"5,463",Dec 17,2021
The Con-Heartist,"$1,559,911","3,381","$280,543",18%,"3,381",Jan 13,2021
The Guardian,"$1,398,729","7,039","$1,160,359",83%,"7,039",Apr 30,2021
Raya and the Last Dragon,"$984,833","2,018","$187,416",19%,"2,018",Mar 3,2021
Mortal Kombat,"$942,304","1,628","$485,621",51.5%,5,Apr 9,2021
Eternals,"$768,681",218,,,,Nov 29,2021
Tom & Jerry,"$747,876","2,584","$175,632",23.5%,"2,584",Feb 17,2021
Trang Ti Phieu Luu Ky,"$665,224","4,037","$665,224",100%,"4,037",Apr 30,2021
Tazza: One-Eyed Jack2021 Re-release,"$645,401","1,814","$232,351",36%,"1,814",Feb 12,2021
Survive (Ta Nang - Phan Dung),"$644,572","1,094",,,,Dec 30,2021
Detective Conan: The Scarlet Bullet,"$494,012","2,197","$169,279",34.3%,"2,197",Apr 23,2021
The Unholy,"$480,129","1,966","$212,879",44.3%,"1,966",Apr 2,2021
Venom: Let There Be Carnage,"$472,245",496,,,,Dec 8,2021
Seobok,"$294,123","1,317","$100,574",34.2%,"1,317",Apr 15,2021
Demon Hunter Yan Chixia,"$258,608",446,"$97,740",37.8%,1,Apr 9,2021
The Matrix Resurrections,"$238,972","1,269","$134,528",56.3%,"1,269",Dec 22,2021
The Boss Baby 2: Family Business,"$204,112",654,"$67,046",32.8%,654,Dec 24,2021
Twist,"$196,830",733,"$72,895",37%,733,Feb 12,2021
Dune,"$194,554",35,,,,Dec 10,2021
Come Play,"$187,705","1,067","$36,970",19.7%,"1,067",Jan 22,2021
The Child Who Would Not Come,"$187,589","1,270","$46,163",24.6%,"1,270",Jan 22,2021
Resident Evil: Welcome to Raccoon City,"$181,647",257,,,,Nov 25,2021
Ainbo,"$168,026",951,"$76,006",45.2%,951,Feb 12,2021
Two by Two: Overboard!,"$148,860",639,"$63,464",42.6%,639,Mar 26,2021
Song Song,"$148,199","1,288","$74,389",50.2%,"1,288",Apr 2,2021
Maya the Bee 3: The Golden Orb,"$145,738",793,"$51,222",35.1%,793,Apr 23,2021
Stand by Me Doraemon 2,"$134,744",448,,,,Dec 10,2021
Dreambuilders,"$105,347",619,"$49,857",47.3%,619,Apr 9,2021
Captain Sabertooth and the Magic Diamond,"$102,276",847,"$50,779",49.6%,847,Jan 15,2021
A Quiet Place Part II,"$101,843",145,,,,Dec 10,2021
Harry Potter and the Deathly Hallows: Part 22020 Re-release,"$97,729",595,"$50,218",51.4%,595,Apr 2,2021
Kieu,"$89,973",1,"$57,841",64.3%,1,Apr 9,2021
Chaos Walking,"$86,984",141,,,,Mar 19,2021
Horizon Line,"$85,925","1,120","$33,980",39.5%,"1,120",Jan 29,2021
Boss Level,"$85,665",778,"$39,083",45.6%,778,Apr 23,2021
The Marksman,"$81,489",897,"$29,083",35.7%,897,Jan 22,2021
The Cursed Lesson,"$78,647","1,185","$45,920",58.4%,"1,185",Jan 15,2021
"Josee, the Tiger and the Fish2020 Re-release","$77,706",469,"$45,605",58.7%,469,Apr 9,2021
The Vault,"$75,040",595,"$40,465",53.9%,595,Apr 2,2021
Clifford the Big Red Dog,"$74,357",92,,,,Dec 31,2021
Palm Springs,"$69,652",751,"$29,646",42.6%,751,Mar 3,2021
A Year-End Medley,"$66,781",64,,,,Dec 31,2021
Voyagers,"$52,917",300,"$7,212",13.6%,300,Apr 9,2021
Nobody,"$51,050",657,"$51,050",100%,657,Apr 30,2021
Sinkhole,"$49,007",494,"$49,007",100%,494,Dec 24,2021
Kieu @,"$46,763",42,,,,Feb 26,2021
Host,"$46,734",754,"$25,922",55.5%,754,Jan 8,2021
Hypnosis,"$40,533",565,"$17,077",42.1%,565,Apr 23,2021
The Day I Died: Unclosed Case,"$39,001",751,"$19,832",50.8%,751,Jan 29,2021
Redemption Day,"$35,243",605,"$22,006",62.4%,605,Jan 15,2021
The Shed,"$34,758",524,"$20,955",60.3%,524,Jan 8,2021
Stigmatized Properties,"$32,320",156,"$6,113",18.9%,156,Jan 22,2021
Promising Young Woman,"$31,814",407,"$13,433",42.2%,407,Apr 2,2021
The Cursed,"$26,603",204,"$12,321",46.3%,204,Dec 16,2021
The Promised Neverland,"$26,569",521,"$16,788",63.2%,521,Jan 15,2021
Combat Wombat,"$25,669",310,"$14,773",57.6%,310,Feb 12,2021
The Last Warrior: Root of Evil,"$16,614",288,"$16,614",100%,288,Apr 30,2021
Fate/Grand Order the Movie: Divine Realm of the Round Table: Camelot,"$16,052",227,"$9,009",56.1%,227,Apr 16,2021
Blackpink: The Movie,"$15,831",267,,,,Dec 8,2021
Double Patty,"$14,982",343,"$8,562",57.1%,343,Apr 23,2021
West Side Story2021 Re-release,"$12,717",88,"$12,717",100%,88,Dec 24,2021
Minari,"$10,761",241,"$8,224",76.4%,241,Apr 2,2021
Prey,"$9,377",336,"$9,377",100%,336,Jan 8,2021
Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child2021 Re-release,"$6,332",239,"$6,332",100%,239,Jan 8,2021
Our Friend2021 Re-release,"$4,996",108,"$2,993",59.9%,108,Apr 16,2021
Avatar: The Way of Water,"$11,418,748","11,121","$2,568,365",22.5%,"11,121",Dec 15,2022
Doctor Strange in the Multiverse of Madness,"$8,613,576","12,686","$2,791,119",32.4%,"12,686",May 4,2022
Minions: The Rise of Gru,"$8,095,995","9,041","$1,599,055",19.8%,"9,041",Jul 1,2022
6/45,"$7,330,064","7,335",,,,Sep 23,2022
Thor: Love and Thunder,"$5,098,844","10,559","$1,860,406",36.5%,"10,559",Jul 6,2022
Em Va Trinh,"$4,164,201","7,510","$509,092",12.2%,"4,230",Jun 10,2022
Naked Truth,"$3,628,553",20,,,,Mar 18,2022
Paws of Fury: The Legend of Hank,"$3,411,585","3,923","$93,981",2.8%,"1,342",Aug 26,2022
Black Panther: Wakanda Forever,"$3,318,878","9,065","$791,374",23.8%,"9,065",Nov 9,2022
Black Adam,"$3,186,896","9,693","$1,125,152",35.3%,"9,693",Oct 20,2022
Jurassic World Dominion,"$3,178,781","6,857","$685,114",21.6%,"5,002",Jun 10,2022
Extremely Easy Job,"$2,956,808","6,956","$355,975",12%,"4,517",Apr 22,2022
Chia Khoa Tram Ty (A Hundred Billion Key),"$2,851,565","4,366","$1,086,679",38.1%,"4,366",Feb 1,2022
Vietnamese Horror Story,"$2,569,119","7,094","$1,795,484",69.9%,"7,094",Feb 11,2022
Emergency Declaration,"$2,436,380","5,712","$698,217",28.7%,"5,712",Aug 12,2022
Detective Conan: The Bride of Halloween,"$2,401,302","3,077",,,,Jul 22,2022
Puss in Boots: The Last Wish,"$2,336,528","3,387","$530,287",22.7%,"3,387",Dec 30,2022
The Batman,"$2,166,813","5,926","$935,619",43.2%,"5,926",Mar 4,2022
Girl from the Past,"$2,136,495","8,367","$831,275",38.9%,"8,367",Oct 12,2022
One Piece Film: Red,"$2,101,640","9,224","$1,162,559",55.3%,"9,224",Nov 18,2022
Loved Child,"$1,935,595","3,896","$456,229",23.6%,"3,896",Jul 28,2022
The Ancestral,"$1,739,866","6,332","$658,108",37.8%,"6,332",Mar 18,2022
Fantastic Beasts: The Secrets of Dumbledore,"$1,671,277","6,230","$77,782",4.7%,973,Apr 22,2022
Daeng Phra Khanong,"$1,502,808","3,932","$441,715",29.4%,"3,932",May 20,2022
Morbius,"$1,348,838","7,344","$572,996",42.5%,"7,344",Apr 1,2022
Nhà Không Bán,"$1,271,932","2,252","$547,582",43.1%,"2,252",Feb 1,2022
Top Gun: Maverick,"$1,195,738","3,507","$335,916",28.1%,"3,507",May 27,2022
Love Destiny: The Movie,"$1,109,803","5,547","$158,882",14.3%,"1,647",Sep 1,2022
1990,"$1,106,702","2,611","$463,450",41.9%,"2,611",Feb 1,2022
Confidential Assignment 2: International,"$1,086,397","3,306","$116,089",10.7%,"1,527",Oct 21,2022
2037,"$1,042,880",76,,,,Jul 29,2022
Muoi: The Curse Returns,"$979,140","2,110",,,,Sep 30,2022
Furies,"$977,950","2,973","$214,379",21.9%,"2,973",Dec 23,2022
DC League of Super-Pets,"$961,560","2,808","$307,653",32%,"2,808",Jul 28,2022
The Brilliant Darkness!,"$914,743","1,746","$152,540",16.7%,"1,746",Apr 7,2022
Jujutsu Kaisen 0,"$870,248","4,303","$417,043",47.9%,"4,303",Apr 15,2022
Don't Look at the Demon,"$849,299","3,080","$300,480",35.4%,"3,080",Oct 28,2022
Avatar2022  Re-release,"$797,400","3,511","$346,740",43.5%,"3,511",Sep 23,2022
Turning Red,"$788,417","1,647","$237,392",30.1%,"1,647",Mar 11,2022
Hanh Phúc Máu,"$775,023","2,137","$129,024",16.6%,"2,137",Nov 24,2022
The Witch: Part 2 - The Other One,"$763,366","3,321","$314,993",41.3%,"3,321",Jun 30,2022
Sonic the Hedgehog 2,"$715,994","1,575","$129,533",18.1%,"1,575",Apr 15,2022
The Black Phone,"$694,953","3,240","$296,704",42.7%,"3,240",Jun 24,2022
Moonfall,"$646,171","2,610","$356,328",55.1%,"2,610",Feb 18,2022
Bullet Train,"$588,362","2,461","$206,610",35.1%,"2,461",Aug 5,2022
Encanto,"$564,327",991,"$202,321",35.9%,991,Feb 1,2022
Sing 2,"$555,715",989,"$189,482",34.1%,989,Feb 1,2022
Smile,"$554,922","2,820","$248,784",44.8%,"2,820",Oct 7,2022
Lost in Mekong Delta,"$542,771",768,,,,Sep 1,2022
F9: The Fast Saga,"$539,072","2,360","$267,038",49.5%,"2,360",Jan 7,2022
Jackpot Island: Kumanthong Returns,"$512,716","2,315","$215,961",42.1%,"2,315",Dec 22,2022
Lightyear,"$487,138","1,274","$203,862",41.8%,2,Jun 17,2022
Chickenhare and the Hamster of Darkness,"$484,358","1,518","$198,948",41.1%,"1,518",Apr 29,2022
Everything Everywhere All at Once,"$440,704",969,"$72,991",16.6%,969,Jun 24,2022
Sky Tour: The Movie,"$416,650","3,897","$5,977",1.4%,96,Oct 14,2022
Prey for the Devil,"$398,560","2,671","$213,849",53.7%,"2,671",Oct 28,2022
The Bad Guys,"$375,163","1,637","$117,194",31.2%,"1,637",Mar 25,2022
Ivanna,"$367,453","1,445","$131,903",35.9%,"1,445",Sep 1,2022
Urban Myths,"$359,402","2,050",,,,Dec 5,2022
No Time to Die,"$356,582",444,,,,Dec 31,2022
Death on the Nile,"$351,735",924,"$117,666",33.5%,924,Feb 11,2022
Wrath of Man,"$349,085","1,936","$278,048",79.7%,"1,936",Mar 11,2022
Alienoid,"$348,749","2,089","$157,228",45.1%,"2,089",Aug 5,2022
Jailangkung: Sandekala,"$343,774","3,213","$179,405",52.2%,"3,213",Dec 9,2022
The Lost City,"$343,425","2,313","$159,909",46.6%,"2,313",Mar 25,2022
Nope,"$319,624","2,448","$120,459",37.7%,"2,448",Aug 26,2022
Men Gai Mien Tay,"$317,976","1,418","$73,449",23.1%,"1,418",Mar 25,2022
Shang-Chi and the Legend of the Ten Rings,"$316,170",3,,,,Nov 26,2022
Gangnam Zombie,"$311,958","2,054","$186,746",59.9%,"2,054",Dec 29,2022
"Lyle, Lyle, Crocodile","$310,491","1,423","$56,797",18.3%,692,Oct 28,2022
Ex,"$298,884","1,965","$157,783",52.8%,"1,965",Feb 25,2022
Duyen Ma,"$287,329",593,,,,Aug 12,2022
Maika,"$276,867","1,135","$66,253",23.9%,"1,135",May 27,2022
Kisaragi Station,"$259,641",494,"$25,187",9.7%,494,Sep 16,2022
Kuntilanak 3,"$255,403","1,388","$121,655",47.6%,"1,388",Jun 23,2022
Haunted Universities 2nd Semester,"$248,736","1,529","$110,195",44.3%,"1,529",Jul 29,2022
Violent Night,"$245,296",730,"$113,070",46.1%,201,Dec 2,2022
Dragon Ball Super: Super Hero,"$241,788","2,610","$124,120",51.3%,"2,610",Aug 19,2022
Haunted Tales2022 Re-release,"$228,463",237,$2,<0.1%,,Apr 29,2022
The Policeman's Lineage,"$221,564","1,255","$114,565",51.7%,"1,255",Feb 25,2022
House of Gucci,"$220,506",829,"$83,780",38%,829,Feb 18,2022
The Invitation,"$218,991","1,755","$87,485",39.9%,"1,755",Aug 26,2022
Broker,"$214,547","1,459","$107,526",50.1%,"1,459",Jun 23,2022
The Menu,"$209,457",905,"$62,412",29.8%,905,Nov 18,2022
Decision to Leave,"$209,213",917,"$60,347",28.8%,917,Jul 14,2022
Contorted,"$208,758","1,807","$114,764",55%,"1,807",Aug 19,2022
The Nightmares,"$202,654","2,543","$106,825",52.7%,"2,543",Aug 26,2022
Around the World in 80 Days,"$198,932",598,,,,Nov 4,2022
Mahlûkat,"$195,163","1,063","$99,710",51.1%,"1,063",Aug 5,2022
The Lake,"$191,178","1,870","$119,070",62.3%,"1,870",Sep 16,2022
Glorious Ashes,"$176,398",781,"$56,970",32.3%,1,Dec 2,2022
Cherry Magic! Thirty Years of Virginity Can Make You A Wizard?!: The Movie,"$175,968",49,"$77,079",43.8%,1,Jul 15,2022
